user_input_text,category,sub_category,priority,auto_resolve,assigned_team
applications cannot connect corporate proxy since morning thanks.,Network,Proxy Error,Low,TRUE,Network Support
account locked message appearing login screen thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
bypass proxy settings working internal sites today fix this.,Network,Proxy Error,Low,TRUE,Network Support
internet connection timing frequently affecting work need help quickly.,Network,Internet Slow,Medium,TRUE,Network Support
issue remote assistance invitation working properly since yesterday thanks.,Network,Remote Access,High,FALSE,Network Support
support team biometric login recognizing fingerprint shift,Access,Login Failure,High,TRUE,IAM Team
issue video conferencing app crashing meetings since yesterday thanks.,Software,Application Crash,High,TRUE,Application Support
access needed new system onboarding,Access,Access Request,Low,TRUE,IAM Team
software showing license found error startup update,Software,License Issue,High,FALSE,Application Support
team application setup cannot write to program files since last week,Software,Software Install,Medium,FALSE,Application Support
system_service_exception causing windows to crash help urgent.,Hardware,Blue Screen,High,FALSE,Hardware Support
remote desktop shows black screen connection try to work asap.,Network,Remote Access,Medium,TRUE,Network Support
access denied nu varuthu,Access,Login Failure,High,TRUE,IAM Team
team cannot see company wifi network available networks list since yesterday,Network,WiFi Issue,Medium,TRUE,Network Support
team account locked message appearing login screen urgently needed thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
support team application requiring older framework version reboot fix this.,Software,Compatibility,Critical,FALSE,Application Support
getting proxy authentication required popup repeatedly affecting work thanks.,Network,Proxy Error,Low,FALSE,Network Support
help dual monitor setup stopped working update update asap.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
trackpad gestures working laptop affecting work urgent.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
applications cannot connect corporate proxy since morning,Network,Proxy Error,Low,TRUE,Network Support
software deployment package corrupted download afternoon,Software,Software Install,Medium,FALSE,Application Support
network throughput severely degraded today reboot assist.,Network,Internet Slow,Medium,FALSE,Network Support
battery showing even plugged hours shift need help quickly.,Hardware,Battery Issue,Low,FALSE,Hardware Support
legacy application running updated os reboot thanks.,Software,Compatibility,Low,FALSE,Application Support
help portable computer keyboard functioning properly thanks.,Hardware,Laptop Issue,High,TRUE,Hardware Support
group policy restricting application execution affecting work asap.,Access,Permission Issue,High,TRUE,IAM Team
cannot access certain ports due to firewall restrictions help thanks.,Network,Firewall Block,High,TRUE,Network Support
support team account suspended due to security policy violation since morning fix this.,Access,Account Unlock,Medium,FALSE,IAM Team
multi-factor authentication keeps failing repeatedly shift,Access,MFA Problem,Medium,TRUE,IAM Team
need to reset password expired today try to work urgent.,Access,Password Reset,Critical,FALSE,IAM Team
receiving password reset email inbox since last week urgent.,Access,Password Reset,High,TRUE,IAM Team
issue cpu fan failure causing processor overheating,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
support team incompatible dll files causing application errors since yesterday thanks.,Software,Compatibility,Critical,FALSE,Application Support
mfa setup working cannot complete registration since morning asap.,Access,MFA Problem,Medium,TRUE,IAM Team
getting account disabled error trying to login help assist.,Access,Account Unlock,Medium,FALSE,IAM Team
cannot connect to office desktop from home via remote desktop today fix this.,Network,Remote Access,Critical,FALSE,Network Support
requesting database access reporting purposes since yesterday fix this.,Access,Access Request,Low,TRUE,IAM Team
proxy settings application need to configured help assist.,Software,Configuration,Low,TRUE,Application Support
remote desktop gateway server unavailable update,Network,Remote Access,Medium,TRUE,Network Support
amar laptop hocche na,Hardware,Blue Screen,High,TRUE,Hardware Support
laptop suddenly shut turn back afternoon need help quickly.,Hardware,Laptop Issue,High,FALSE,Hardware Support
rdp connection refused remote computer help,Network,Remote Access,High,TRUE,Network Support
support team software install stuck 99 complete update urgent.,Software,Software Install,Medium,TRUE,Application Support
help temporary account access period lapsed afternoon thanks.,Access,Account Expired,Low,FALSE,IAM Team
team getting nxdomain error valid websites affecting work thanks.,Network,DNS Problem,High,TRUE,Network Support
motherboard issue causing random system restarts assist.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help motherboard issue causing random system restarts assist.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
support team program designed version windows urgently needed urgent.,Software,Compatibility,High,FALSE,Application Support
remote vpn access working from home network today fix this.,Network,VPN Connection,High,TRUE,Network Support
software install avvatledu,Software,Software Install,Medium,FALSE,Application Support
application preferences saving properly try to work assist.,Software,Configuration,Low,FALSE,Application Support
support team default settings causing issues need custom configuration affecting work assist.,Software,Configuration,Low,FALSE,Application Support
team application incompatible installed programs afternoon,Software,Compatibility,Medium,TRUE,Application Support
network latency extremely high cannot use video conferencing reboot assist.,Network,Internet Slow,Medium,FALSE,Network Support
dns server responding error browsers affecting work urgent.,Network,DNS Problem,Low,TRUE,Network Support
application incompatible installed programs update thanks.,Software,Compatibility,Low,FALSE,Application Support
excel application freezing crashing large files reboot,Software,Application Crash,High,TRUE,Application Support
printer showing paper jam error paper visible since last week,Hardware,Printer Error,High,TRUE,Hardware Support
getting remote computer available error affecting work urgent.,Network,Remote Access,Critical,FALSE,Network Support
team ui laggy unresponsive usage affecting work need help quickly.,Software,Performance,Low,TRUE,Application Support
photoshop crashing error applying filters try to work assist.,Software,Application Crash,High,FALSE,Application Support
support team monitor colors look washed distorted today,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
issue laser printer toner cartridge error message shift asap.,Hardware,Printer Error,High,FALSE,Hardware Support
authenticator app generating valid codes afternoon assist.,Access,MFA Problem,Medium,TRUE,IAM Team
help hardware token synchronizing server reboot thanks.,Access,MFA Problem,Medium,FALSE,IAM Team
support team mouse cursor jumping around randomly screen since morning,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
team password expired cannot set new one,Access,Account Expired,Critical,FALSE,IAM Team
application requiring older framework version afternoon need help quickly.,Software,Compatibility,Critical,FALSE,Application Support
getting invalid otp error even correct code try to work fix this.,Access,MFA Problem,Medium,TRUE,IAM Team
help remote desktop gateway server unavailable need assistance thanks.,Network,Remote Access,High,TRUE,Network Support
network storage accessible from workstation since morning asap.,Network,Network Drive,Low,TRUE,Network Support
latest patch causing compatibility issues software today fix this.,Software,Update Problem,Medium,FALSE,Application Support
laptop charging battery icon shows red try to work,Hardware,Battery Issue,Low,TRUE,Hardware Support
software using much cpu making system sluggish help urgent.,Software,Performance,Medium,FALSE,Application Support
outlook crash korchhe,Software,Performance,Medium,FALSE,Application Support
issue temporary account access period lapsed today urgent.,Access,Account Expired,High,FALSE,IAM Team
team laptop shuts immediately unplugged since yesterday,Hardware,Battery Issue,Low,FALSE,Hardware Support
team secondary dns server responding to queries asap.,Network,DNS Problem,Low,FALSE,Network Support
password change required form submitting urgently needed thanks.,Access,Password Reset,High,TRUE,IAM Team
help corporate firewall preventing software update download need help quickly.,Network,Firewall Block,Low,FALSE,Network Support
office wifi keeps disconnecting laptop every 10 minutes affecting work thanks.,Network,WiFi Issue,Medium,TRUE,Network Support
need help installing python required libraries thanks.,Software,Software Install,Medium,FALSE,Application Support
account status showing expired system since last week urgent.,Access,Account Unlock,Medium,TRUE,IAM Team
vpn client shows authentication failed error try to login reboot assist.,Network,VPN Connection,High,TRUE,Network Support
issue data synchronization causing file conflicts help thanks.,Software,Data Loss,Critical,FALSE,Application Support
accidental data deletion from shared drive need assistance urgent.,Software,Data Loss,Critical,FALSE,Application Support
help promoted to team lead requesting elevated permissions afternoon urgent.,Access,Role Change,Low,FALSE,IAM Team
ssd detected bios possible drive failure reboot need help quickly.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
laser printer toner cartridge error message reboot assist.,Hardware,Printer Error,High,TRUE,Hardware Support
cannot connect to corporate wireless network today assist.,Network,WiFi Issue,Medium,FALSE,Network Support
laser printer toner cartridge error message since morning assist.,Hardware,Printer Error,High,FALSE,Hardware Support
security patch installation getting stuck help assist.,Software,Update Problem,Medium,FALSE,Application Support
laptop wifi extremely slow compared to colleagues afternoon urgent.,Network,WiFi Issue,Medium,TRUE,Network Support
issue accidental data deletion from shared drive today need help quickly.,Software,Data Loss,Critical,FALSE,Application Support
account validity period ended today help,Access,Account Expired,Medium,TRUE,IAM Team
touchpad responding to gestures clicks today,Hardware,Laptop Issue,High,TRUE,Hardware Support
mouse scroll wheel working anymore since morning assist.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
second monitor keeps going black every minutes since morning need help quickly.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
heat sink seems clogged dust reboot assist.,Hardware,Overheating,Low,TRUE,Hardware Support
support team need access to shared folder new project try to work assist.,Access,Access Request,Low,FALSE,IAM Team
teamviewer connection failing timeout error since yesterday fix this.,Network,Remote Access,Critical,FALSE,Network Support
support team unsaved work lost due to unexpected application crash help,Software,Data Loss,Critical,FALSE,Application Support
heat sink seems clogged dust since last week,Hardware,Overheating,Low,FALSE,Hardware Support
team incompatible dll files causing application errors update assist.,Software,Compatibility,Critical,FALSE,Application Support
keyboard keys working properly keys stuck urgent.,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
system rebooting automatically blue screen error since last week fix this.,Hardware,Blue Screen,High,FALSE,Hardware Support
wifi connect aagta illa,Network,Internet Slow,Medium,FALSE,Network Support
team data corruption project files cannot open help asap.,Software,Data Loss,Critical,FALSE,Application Support
help need role-based access updated systems shift assist.,Access,Role Change,Low,TRUE,IAM Team
excel application freezing crashing large files help asap.,Software,Application Crash,High,TRUE,Application Support
requesting database access reporting purposes since last week,Access,Access Request,Low,TRUE,IAM Team
print quality poor streaks pages urgently needed fix this.,Hardware,Printer Error,High,TRUE,Hardware Support
support team web pages loading extremely slowly browsers afternoon urgent.,Network,Internet Slow,Medium,TRUE,Network Support
cannot access account showing authentication failure need assistance fix this.,Access,Account Unlock,Medium,TRUE,IAM Team
hdmi monitor showing signal message affecting work asap.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
support team page_fault_in_nonpaged_area system crash help assist.,Hardware,Blue Screen,High,FALSE,Hardware Support
support team laptop booting stuck black screen today thanks.,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
team cannot connect to vpn since morning keeps timing since morning,Network,VPN Connection,High,TRUE,Network Support
network drive access extremely slow files open shift,Network,Network Drive,Low,TRUE,Network Support
shared drive keeps disconnecting randomly throughout day since yesterday thanks.,Network,Network Drive,Low,FALSE,Network Support
help ntfs permissions preventing file access afternoon fix this.,Access,Permission Issue,High,TRUE,IAM Team
dual monitor setup stopped working update try to work asap.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
support team secondary dns server responding to queries update asap.,Network,DNS Problem,Low,FALSE,Network Support
help monitor backlight flickering intermittently urgently needed asap.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
support team mouse cursor jumping around randomly screen shift need help quickly.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
database showing corruption errors startup since last week fix this.,Software,Data Loss,Critical,FALSE,Application Support
outlook crash aagide,Software,Performance,High,TRUE,Application Support
network drive access panna mudiyala,Network,DNS Problem,Critical,FALSE,Network Support
help proxy settings seem to changed cannot browse internet since morning need help quickly.,Network,Proxy Error,Low,FALSE,Network Support
program designed version windows afternoon urgent.,Software,Compatibility,Low,TRUE,Application Support
support team browser showing proxy server connection error try to work need help quickly.,Network,Proxy Error,Low,FALSE,Network Support
laptop overheating automatically shutting try to work urgent.,Hardware,Overheating,High,FALSE,Hardware Support
concurrent license limit exceeded error today,Software,License Issue,High,FALSE,Application Support
outbound traffic blocked specific application since last week,Network,Firewall Block,High,FALSE,Network Support
license server responding cannot validate software reboot need help quickly.,Software,License Issue,High,FALSE,Application Support
support team application installation blocked windows defender firewall need assistance,Network,Firewall Block,High,FALSE,Network Support
unable to establish secure connection to corporate vpn since yesterday need help quickly.,Network,VPN Connection,High,FALSE,Network Support
smart card authentication failing login since yesterday,Access,Login Failure,High,FALSE,IAM Team
keyboard lo konni keys panicheyatledu,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
support team getting remote computer available error,Network,Remote Access,Medium,FALSE,Network Support
keyboard keys working properly keys stuck asap.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
application incompatible installed programs need assistance,Software,Compatibility,Medium,TRUE,Application Support
security patch installation getting stuck since last week need help quickly.,Software,Update Problem,Medium,FALSE,Application Support
account lease expired cloud system reboot assist.,Access,Account Expired,Low,FALSE,IAM Team
support team cannot connect to vpn since morning keeps timing need assistance asap.,Network,VPN Connection,High,FALSE,Network Support
ram seems faulty system showing memory errors reboot,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
firewall blocking application from accessing network try to work asap.,Network,Firewall Block,Low,FALSE,Network Support
domain name resolution failing intermittently since last week fix this.,Network,DNS Problem,Critical,FALSE,Network Support
support team dual monitor setup stopped working update today fix this.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
help network card detected device manager reboot fix this.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
32-bit software working 64-bit system properly since last week need help quickly.,Software,Compatibility,High,TRUE,Application Support
support team mouse buttons responding to clicks urgently needed thanks.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
support team teams application keeps closing randomly afternoon,Software,Application Crash,High,FALSE,Application Support
issue account suspended due to security policy violation shift asap.,Access,Account Unlock,Medium,TRUE,IAM Team
help mobile computer battery holding charge today need help quickly.,Hardware,Laptop Issue,Low,FALSE,Hardware Support
blue screen appearing randomly different error codes since morning asap.,Hardware,Blue Screen,High,FALSE,Hardware Support
team powerpoint closing unexpectedly presentation since morning fix this.,Software,Application Crash,High,FALSE,Application Support
file version history showing previous versions urgently needed,Software,Data Loss,Critical,FALSE,Application Support
team application setup cannot write to program files need assistance,Software,Software Install,Medium,FALSE,Application Support
need role-based access updated systems try to work asap.,Access,Role Change,Low,TRUE,IAM Team
license expiration affecting account access urgently needed,Access,Account Expired,Medium,TRUE,IAM Team
issue biometric login recognizing fingerprint update urgent.,Access,Login Failure,High,TRUE,IAM Team
firewall blocking application from accessing network update asap.,Network,Firewall Block,High,FALSE,Network Support
account suspended due to security policy violation since yesterday asap.,Access,Account Unlock,Medium,TRUE,IAM Team
dns query timeouts causing browsing issues update fix this.,Network,DNS Problem,Critical,FALSE,Network Support
registry settings need to modified app need assistance,Software,Configuration,Low,TRUE,Application Support
unable to save files to team network drive need help quickly.,Network,Network Drive,Low,FALSE,Network Support
issue proxy settings seem to changed cannot browse internet since morning,Network,Proxy Error,Low,FALSE,Network Support
power adapter connected battery charging update urgent.,Hardware,Battery Issue,Low,TRUE,Hardware Support
transferred to new team need access to resources today fix this.,Access,Role Change,Low,FALSE,IAM Team
support team trial version expired license purchased help fix this.,Software,License Issue,High,FALSE,Application Support
excel file open aagala,Software,Software Install,Medium,TRUE,Application Support
proxy pac file loading correctly since last week,Network,Proxy Error,Low,FALSE,Network Support
application freezing data processing try to work need help quickly.,Software,Performance,High,FALSE,Application Support
laptop charging battery icon shows red affecting work thanks.,Hardware,Battery Issue,Low,FALSE,Hardware Support
issue printer showing offline status even though powered today,Hardware,Printer Error,High,TRUE,Hardware Support
update install aagala,Software,Configuration,Low,FALSE,Application Support
browser showing proxy server connection error shift,Network,Proxy Error,Low,FALSE,Network Support
cannot connect to office desktop from home via remote desktop urgent.,Network,Remote Access,Critical,FALSE,Network Support
support team getting stuck update loop keeps restarting since morning,Software,Update Problem,Medium,FALSE,Application Support
issue mobile computer battery holding charge shift thanks.,Hardware,Laptop Issue,Low,FALSE,Hardware Support
position change affecting system authorizations since morning asap.,Access,Role Change,Low,FALSE,IAM Team
xml config file syntax error preventing startup today urgent.,Software,Configuration,Low,TRUE,Application Support
getting printer found error trying to print reboot,Hardware,Printer Error,High,FALSE,Hardware Support
system crashing bsod multiple times today since morning thanks.,Hardware,Blue Screen,High,FALSE,Hardware Support
support team account status showing expired system update urgent.,Access,Account Unlock,Medium,TRUE,IAM Team
printer showing offline status even though powered reboot thanks.,Hardware,Printer Error,High,FALSE,Hardware Support
support team lost access to mfa device cannot authenticate reboot asap.,Access,MFA Problem,Medium,TRUE,IAM Team
support team position change affecting system authorizations shift fix this.,Access,Role Change,Low,TRUE,IAM Team
browser tabs crashing memory error afternoon urgent.,Software,Application Crash,High,TRUE,Application Support
browser extension incompatible current chrome version help urgent.,Software,Compatibility,Critical,FALSE,Application Support
getting account disabled error trying to login try to work thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
hard drive making clicking noises suspect failure reboot thanks.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
unsaved work lost due to unexpected application crash since yesterday fix this.,Software,Data Loss,Critical,FALSE,Application Support
login session expiring immediately signing update assist.,Access,Login Failure,High,FALSE,IAM Team
wifi connect aagala,Network,Proxy Error,Low,FALSE,Network Support
team domain password policy forcing expiration affecting work urgent.,Access,Account Expired,Medium,FALSE,IAM Team
vpn kaam nahi kar raha,Network,Firewall Block,High,FALSE,Network Support
internet romba slow ah iruku,Network,Network Drive,Low,TRUE,Network Support
mfa push notification reaching mobile app since last week fix this.,Access,MFA Problem,Medium,TRUE,IAM Team
help cannot connect to vpn since morning keeps timing since last week,Network,VPN Connection,High,TRUE,Network Support
support team account locked multiple failed login attempts afternoon need help quickly.,Access,Account Unlock,Medium,TRUE,IAM Team
domain name resolution failing intermittently help assist.,Network,DNS Problem,Critical,FALSE,Network Support
notebook computer recognizing power adapter update fix this.,Hardware,Laptop Issue,Medium,TRUE,Hardware Support
keyboard keys working properly keys stuck since morning fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
corporate proxy blocking legitimate business websites afternoon assist.,Network,Proxy Error,Low,FALSE,Network Support
proxy server refusing connections port 8080 since morning,Network,Proxy Error,Low,FALSE,Network Support
password reset maadabeku,Access,Password Reset,High,TRUE,IAM Team
system rebooting automatically blue screen error need assistance need help quickly.,Hardware,Blue Screen,High,FALSE,Hardware Support
biometric login recognizing fingerprint today need help quickly.,Access,Login Failure,High,FALSE,IAM Team
team cannot check updates getting connection error afternoon thanks.,Software,Update Problem,Medium,FALSE,Application Support
issue login session expiring immediately signing afternoon thanks.,Access,Login Failure,High,FALSE,IAM Team
trackpad gestures working laptop help need help quickly.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
lithium battery showing replace soon warning today,Hardware,Battery Issue,Low,FALSE,Hardware Support
domain login failing trust relationship error urgent.,Access,Login Failure,High,FALSE,IAM Team
got blue screen death error code critical_process_died since last week need help quickly.,Hardware,Blue Screen,High,FALSE,Hardware Support
help wifi signal strength weak desk location since yesterday,Network,WiFi Issue,Medium,FALSE,Network Support
network card detected device manager reboot,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
help transferred to new team need access to resources since yesterday urgent.,Access,Role Change,Low,TRUE,IAM Team
password reset questions accepting answers urgently needed,Access,Password Reset,Critical,FALSE,IAM Team
team application freezing data processing try to work thanks.,Software,Performance,High,FALSE,Application Support
battery calibration seems incorrect help urgent.,Hardware,Battery Issue,Low,TRUE,Hardware Support
team access needed new system onboarding afternoon need help quickly.,Access,Access Request,Low,FALSE,IAM Team
login page keeps redirecting back to login screen since yesterday fix this.,Access,Login Failure,High,TRUE,IAM Team
cannot access external websites due to proxy configuration issue need assistance,Network,Proxy Error,Low,TRUE,Network Support
user account disabled due to inactivity period,Access,Account Expired,Critical,FALSE,IAM Team
help portable computer keyboard functioning properly affecting work asap.,Hardware,Laptop Issue,Medium,FALSE,Hardware Support
position change affecting system authorizations urgently needed,Access,Role Change,Low,FALSE,IAM Team
help application preferences saving properly shift,Software,Configuration,Low,TRUE,Application Support
application crashes stopped working error affecting work thanks.,Software,Application Crash,High,TRUE,Application Support
cannot establish remote session to server maintenance fix this.,Network,Remote Access,Critical,FALSE,Network Support
ui laggy unresponsive usage since morning assist.,Software,Performance,Critical,FALSE,Application Support
team data synchronization causing file conflicts affecting work,Software,Data Loss,Critical,FALSE,Application Support
subscription license showing expired status shift fix this.,Software,License Issue,High,FALSE,Application Support
multifunction printer scanner working since morning,Hardware,Printer Error,High,FALSE,Hardware Support
getting error network path found trying to open shared folder try to work asap.,Network,Network Drive,Low,FALSE,Network Support
user profile locked due to inactivity timeout afternoon urgent.,Access,Account Unlock,Medium,TRUE,IAM Team
single sign-on redirect loop preventing access affecting work,Access,Login Failure,High,FALSE,IAM Team
graphics rendering causing application slowdown reboot,Software,Performance,Low,FALSE,Application Support
help blue screen appearing randomly different error codes need assistance fix this.,Hardware,Blue Screen,High,FALSE,Hardware Support
issue teamviewer connection failing timeout error need assistance fix this.,Network,Remote Access,Low,FALSE,Network Support
account validity period ended today afternoon asap.,Access,Account Expired,Critical,FALSE,IAM Team
software using much cpu making system sluggish today asap.,Software,Performance,Low,FALSE,Application Support
lithium battery showing replace soon warning help assist.,Hardware,Battery Issue,Low,FALSE,Hardware Support
support team installation prerequisites met error message update fix this.,Software,Software Install,Medium,TRUE,Application Support
issue getting proxy authentication required popup repeatedly help urgent.,Network,Proxy Error,Low,TRUE,Network Support
support team domain name resolution failing intermittently since morning asap.,Network,DNS Problem,Medium,TRUE,Network Support
issue firewall blocking application from accessing network need assistance fix this.,Network,Firewall Block,Low,TRUE,Network Support
dual monitor setup stopped working update affecting work urgent.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
usb keyboard recognized computer urgently needed fix this.,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
cannot access shared network drive getting access denied need assistance fix this.,Network,Network Drive,Low,TRUE,Network Support
unable to save files to team network drive update assist.,Network,Network Drive,Low,FALSE,Network Support
help browsing painfully slow affecting productivity since morning assist.,Network,Internet Slow,Medium,FALSE,Network Support
team new software compatible current windows version since yesterday,Software,Compatibility,Critical,FALSE,Application Support
login session expiring immediately signing need assistance need help quickly.,Access,Login Failure,High,TRUE,IAM Team
cpu temperature reaching dangerous levels according to monitoring since last week thanks.,Hardware,Overheating,Low,FALSE,Hardware Support
issue inbound connection blocked host firewall affecting work thanks.,Network,Firewall Block,Low,TRUE,Network Support
remote access session keeps getting disconnected since morning,Network,Remote Access,High,TRUE,Network Support
issue software showing license found error startup thanks.,Software,License Issue,High,FALSE,Application Support
receiving otp registered mobile number try to work assist.,Access,MFA Problem,Medium,TRUE,IAM Team
issue screen flickering issue work laptop shift fix this.,Hardware,Laptop Issue,High,TRUE,Hardware Support
power supply unit seems to failed fix this.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
laptop overheating automatically shutting shift fix this.,Hardware,Overheating,High,FALSE,Hardware Support
team cannot access certain ports due to firewall restrictions need assistance,Network,Firewall Block,Medium,FALSE,Network Support
file access rights seem to revoked since last week asap.,Access,Permission Issue,High,FALSE,IAM Team
help connection unstable keeps dropping packets try to work need help quickly.,Network,Internet Slow,Medium,TRUE,Network Support
job function change requiring new permissions need assistance need help quickly.,Access,Role Change,Low,TRUE,IAM Team
issue video conferencing app crashing meetings reboot thanks.,Software,Application Crash,High,FALSE,Application Support
team adobe license showing expired even though active urgently needed assist.,Software,License Issue,High,TRUE,Application Support
bottom laptop hot to touch comfortably since last week asap.,Hardware,Overheating,Critical,FALSE,Hardware Support
inbound connection blocked host firewall afternoon asap.,Network,Firewall Block,High,TRUE,Network Support
office wifi keeps disconnecting laptop every 10 minutes shift,Network,WiFi Issue,Medium,FALSE,Network Support
outlook crash avtundi,Software,Compatibility,Medium,FALSE,Application Support
help cpu fan failure causing processor overheating try to work,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
smart card authentication failing login urgently needed assist.,Access,Login Failure,High,FALSE,IAM Team
excel application freezing crashing large files urgently needed assist.,Software,Application Crash,High,FALSE,Application Support
help smart card authentication failing login since morning,Access,Login Failure,High,TRUE,IAM Team
team application running slow taking long time to respond try to work need help quickly.,Software,Performance,High,FALSE,Application Support
teamviewer connection failing timeout error urgently needed assist.,Network,Remote Access,Low,TRUE,Network Support
service account certificate expired since morning need help quickly.,Access,Account Expired,High,FALSE,IAM Team
powerpoint closing unexpectedly presentation need assistance fix this.,Software,Application Crash,High,FALSE,Application Support
